,CELL_LINE_NAME,DRUG_NAME,MAX_CONC_MICROMOLAR,IC50
339,MEL-JUSO,Docetaxel,0.0125,0.007623726
340,MEG-01,Docetaxel,0.0125,0.02211476
341,MES-SA,Docetaxel,0.0125,0.008345916
342,Mewo,Docetaxel,0.0125,0.008687318
343,MFE-280,Docetaxel,0.0125,0.110357299
344,MFE-296,Docetaxel,0.0125,0.00220492
345,MG-63,Docetaxel,0.0125,0.001632366
346,MHH-CALL-2,Docetaxel,0.0125,0.036064871
347,MHH-ES-1,Docetaxel,0.0125,0.001056936
348,MHH-NB-11,Docetaxel,0.0125,0.030381209
349,MHH-PREB-1,Docetaxel,0.0125,0.011114864
350,MKN28,Docetaxel,0.0125,0.007190238
351,ML-2,Docetaxel,0.0125,0.022214101
352,MLMA,Docetaxel,0.0125,0.004545302
353,MN-60,Docetaxel,0.0125,0.220792927
354,MOG-G-CCM,Docetaxel,0.0125,0.000420494
355,MOG-G-UVW,Docetaxel,0.0125,0.000268564
356,MOLT-13,Docetaxel,0.0125,0.009369486
357,MOLT-16,Docetaxel,0.0125,0.002767267
358,MONO-MAC-6,Docetaxel,0.0125,0.015431074
359,Mo-T,Docetaxel,0.0125,0.006650601
360,MPP-89,Docetaxel,0.0125,0.0028981
361,MRK-nu-1,Docetaxel,0.0125,0.063944421
362,MSTO-211H,Docetaxel,0.0125,0.011933413
363,MV-4-11,Docetaxel,0.0125,0.001232874
364,NALM-6,Docetaxel,0.0125,0.067442763
365,NAMALWA,Docetaxel,0.0125,0.010819091
366,NB69,Docetaxel,0.0125,0.006542401
367,NCI-H508,Docetaxel,0.0125,0.051944627
368,NCI-H520,Docetaxel,0.0125,0.003799442
369,NCI-SNU-1,Docetaxel,0.0125,0.086950873
370,NCI-SNU-5,Docetaxel,0.0125,0.00670032
371,NCI-SNU-16,Docetaxel,0.0125,0.00713321
372,NH-12,Docetaxel,0.0125,0.015038766
373,NKM-1,Docetaxel,0.0125,0.004384731
374,NMC-G1,Docetaxel,0.0125,0.000642833
375,no-11,Docetaxel,0.0125,0.010701087
376,NOMO-1,Docetaxel,0.0125,0.008522147
377,no-10,Docetaxel,0.0125,0.009776165
378,NTERA-S-cl-D1,Docetaxel,0.0125,0.001127461
379,NCI-H747,Docetaxel,0.0125,0.017486013
380,NCI-H716,Docetaxel,0.0125,0.313953623
381,NCI-H596,Docetaxel,0.0125,0.009726579
382,NCI-H441,Docetaxel,0.0125,0.017569708
383,NCI-N87,Docetaxel,0.0125,0.012300689
384,NCI-H2452,Docetaxel,0.0125,0.002539559
385,NCI-H358,Docetaxel,0.0125,0.03083956
386,NCI-H1155,Docetaxel,0.0125,0.022512423
387,NCI-H1105,Docetaxel,0.0125,0.015639883
388,NCI-H1436,Docetaxel,0.0125,0.133970052
389,NCI-H28,Docetaxel,0.0125,0.004617809
390,NCI-H1581,Docetaxel,0.0125,0.003012678
391,NCI-H1666,Docetaxel,0.0125,0.007266598
392,NCI-H1703,Docetaxel,0.0125,0.002826811
393,NCI-H1755,Docetaxel,0.0125,0.007251376
394,NCI-H1993,Docetaxel,0.0125,0.403253049
395,NCI-H2081,Docetaxel,0.0125,0.073890131
396,NCI-H630,Docetaxel,0.0125,0.10135896
397,NCI-H524,Docetaxel,0.0125,0.005172496
398,ONS-76,Docetaxel,0.0125,0.002853483
399,OPM-2,Docetaxel,0.0125,0.095025975
400,OS-RC-2,Docetaxel,0.0125,0.051530058
401,P12-ICHIKAWA,Docetaxel,0.0125,0.048243171
402,P30-OHK,Docetaxel,0.0125,0.017758251
403,P31-FUJ,Docetaxel,0.0125,0.030389656
404,PA-1,Docetaxel,0.0125,0.000698989
405,OCUB-M,Docetaxel,0.0125,0.004018956
406,OC-314,Docetaxel,0.0125,0.003408108
407,PF-382,Docetaxel,0.0125,0.054753499
408,Raji,Docetaxel,0.0125,0.093718094
409,RCM-1,Docetaxel,0.0125,0.011099469
410,REH,Docetaxel,0.0125,0.010825184
411,RF-48,Docetaxel,0.0125,0.117197586
412,RKO,Docetaxel,0.0125,0.001294976
413,RMG-I,Docetaxel,0.0125,0.031065668
414,RPMI-2650,Docetaxel,0.0125,0.002947432
415,RPMI-6666,Docetaxel,0.0125,0.039001702
416,RPMI-8402,Docetaxel,0.0125,0.016639848
417,RVH-421,Docetaxel,0.0125,0.005016183
418,Saos-2,Docetaxel,0.0125,0.002391133
419,SAS,Docetaxel,0.0125,0.002373801
420,SCC-9,Docetaxel,0.0125,0.002211368
421,SCH,Docetaxel,0.0125,0.007724803
422,SF126,Docetaxel,0.0125,0.010564352
423,SH-4,Docetaxel,0.0125,0.00361707
424,SJRH30,Docetaxel,0.0125,0.002114749
425,SJSA-1,Docetaxel,0.0125,0.000819488
426,SK-HEP-1,Docetaxel,0.0125,0.003042676
427,SK-LMS-1,Docetaxel,0.0125,0.000651033
428,SK-MEL-1,Docetaxel,0.0125,0.138593374
429,SK-MEL-3,Docetaxel,0.0125,0.022521993
430,SK-MEL-24,Docetaxel,0.0125,0.012863261
431,SK-MEL-30,Docetaxel,0.0125,0.018266966
432,SK-MEL-31,Docetaxel,0.0125,0.012808132
433,SK-MES-1,Docetaxel,0.0125,0.002886519
434,SK-MG-1,Docetaxel,0.0125,0.002086302
435,SK-NEP-1,Docetaxel,0.0125,0.007358244
436,SK-PN-DW,Docetaxel,0.0125,0.006121776
437,SK-UT-1,Docetaxel,0.0125,0.002982218
438,SNG-M,Docetaxel,0.0125,0.001650241
439,SNU-387,Docetaxel,0.0125,0.001865642
440,SNU-423,Docetaxel,0.0125,0.006314928
441,SNU-449,Docetaxel,0.0125,0.235500557
442,SNU-C2B,Docetaxel,0.0125,0.009854047
443,SUP-T1,Docetaxel,0.0125,0.140029663
444,SW13,Docetaxel,0.0125,0.002145901
445,SW1417,Docetaxel,0.0125,0.00222511
446,SW1710,Docetaxel,0.0125,0.000722759
447,SW1783,Docetaxel,0.0125,0.00552495
448,SW48,Docetaxel,0.0125,0.001520164
449,SW626,Docetaxel,0.0125,0.007649531
450,SW684,Docetaxel,0.0125,0.006945148
451,SW948,Docetaxel,0.0125,0.120389375
452,SW962,Docetaxel,0.0125,0.003995826
453,SW982,Docetaxel,0.0125,0.001499095
454,T84,Docetaxel,0.0125,0.043183707
455,TGBC1TKB,Docetaxel,0.0125,0.007820381
456,TGBC11TKB,Docetaxel,0.0125,0.009956566
457,THP-1,Docetaxel,0.0125,0.095327876
458,TUR,Docetaxel,0.0125,0.006015475
459,TYK-nu,Docetaxel,0.0125,0.003200194
460,U-2-OS,Docetaxel,0.0125,0.002240236
461,U-698-M,Docetaxel,0.0125,0.007141882
462,UACC-893,Docetaxel,0.0125,0.032380723
463,UMC-11,Docetaxel,0.0125,0.011358567
464,VMRC-RCZ,Docetaxel,0.0125,0.002774003
465,WM-115,Docetaxel,0.0125,0.004380029
466,WSU-NHL,Docetaxel,0.0125,0.004355299
467,YAPC,Docetaxel,0.0125,0.009365777
468,YH-13,Docetaxel,0.0125,0.001078851
469,ZR-75-30,Docetaxel,0.0125,0.02268798
470,RCC10RGB,Docetaxel,0.0125,1.156260395
471,KURAMOCHI,Docetaxel,0.0125,0.013467862
472,KM-H2,Docetaxel,0.0125,0.116587875
473,HuO-3N1,Docetaxel,0.0125,0.002429631
474,OE19,Docetaxel,0.0125,0.00442182
475,SUP-B8,Docetaxel,0.0125,0.010876846
476,NCI-H838,Docetaxel,0.0125,0.002907653
477,Ramos-2G6-4C10,Docetaxel,0.0125,0.00380706
478,RPMI-8866,Docetaxel,0.0125,0.003897457
479,QIMR-WIL,Docetaxel,0.0125,0.010183984
480,PSN1,Docetaxel,0.0125,0.000786372
481,OAW-42,Docetaxel,0.0125,0.018530634
482,OE33,Docetaxel,0.0125,0.00889612
483,CW-2,Docetaxel,0.0125,0.057011516
484,CMK,Docetaxel,0.0125,0.027976483
485,CHP-126,Docetaxel,0.0125,0.198871379
486,CGTH-W-1,Docetaxel,0.0125,0.001049596
487,COLO-320-HSR,Docetaxel,0.0125,0.116676865
488,ATN-1,Docetaxel,0.0125,0.001556987
489,CESS,Docetaxel,0.0125,0.041076997
490,COLO-678,Docetaxel,0.0125,0.037324475
491,COLO-684,Docetaxel,0.0125,0.03454315
492,COLO-668,Docetaxel,0.0125,0.027667662
493,LN-405,Docetaxel,0.0125,0.003525158
494,TI-73,Docetaxel,0.0125,0.002131594
495,A388,Docetaxel,0.0125,0.003536842
496,C2BBe1,Docetaxel,0.0125,0.002273665
497,SCC-25,Docetaxel,0.0125,0.000925275
498,AsPC-1,Docetaxel,0.0125,0.015390436
499,CA46,Docetaxel,0.0125,0.04372711
500,AU565,Docetaxel,0.0125,0.002415568
501,BALL-1,Docetaxel,0.0125,0.0161522
502,BL-41,Docetaxel,0.0125,0.002079109
503,BV-173,Docetaxel,0.0125,0.001778946
504,IA-LM,Docetaxel,0.0125,0.015017336
505,TGW,Docetaxel,0.0125,0.032653312
506,AN3-CA,Docetaxel,0.0125,0.006315692
507,NY,Docetaxel,0.0125,0.001664243
508,C3A,Docetaxel,0.0125,0.031187965
509,A427,Docetaxel,0.0125,0.002138788
510,CAL-85-1,Docetaxel,0.0125,0.005553911
511,CHL-1,Docetaxel,0.0125,0.001236727
512,RL,Docetaxel,0.0125,0.006022565
513,NCI-H146,Docetaxel,0.0125,0.058624651
514,NCI-H1651,Docetaxel,0.0125,0.007832285
515,RPMI-7951,Docetaxel,0.0125,0.00063118
516,SCC-4,Docetaxel,0.0125,0.001011786
517,SNU-C1,Docetaxel,0.0125,0.071901295
518,ST486,Docetaxel,0.0125,0.029037563
519,SW1990,Docetaxel,0.0125,0.011244727
520,SW403,Docetaxel,0.0125,0.037744029
521,Capan-2,Docetaxel,0.0125,0.040228604
522,CAL-27,Docetaxel,0.0125,0.000409472
523,BC-1,Docetaxel,0.0125,0.069493226
